"Cell age","Growth","Growth rate","Absolute position","Relative position"
22.67,8.208097,0.027597,375.616483,0.65785
22.67,7.874149,0.036157,392.180634,0.68686
23.16,4.817745,0.01421,45.094392,0.063598
23.16,6.990547,0.01307,106.802507,0.150628
23.16,6.990547,0.01307,106.802507,0.150628
23.16,5.569446,0.039107,131.723092,0.185774
23.16,19.380423,0.030932,155.456982,0.219247
23.16,18.283663,0.039952,159.017066,0.224268
23.16,14.430463,0.033601,222.505223,0.313808
23.16,9.331563,0.026262,239.118946,0.337238
23.16,10.700431,0.044763,250.985891,0.353975
23.16,16.256876,0.025241,258.106058,0.364017
23.16,8.920396,0.032669,256.919364,0.362343
23.16,4.838311,0.032578,272.346393,0.3841
23.16,8.812207,0.036111,294.893588,0.4159
23.16,14.866947,0.036885,305.573839,0.430962
23.16,10.039775,0.036425,307.947228,0.43431
23.16,5.743895,0.02614,319.220826,0.450209
23.16,6.649517,0.024825,324.560951,0.457741
23.16,4.306942,0.034976,323.374257,0.456067
23.16,3.880266,0.029778,337.614591,0.476151
23.16,6.219458,0.029712,338.801286,0.477824
23.16,31.716547,0.044993,327.527688,0.461925
23.16,2.612897,0.026824,347.701495,0.490377
23.16,10.765854,0.028965,344.734758,0.486192
23.16,4.257219,0.020261,350.668231,0.494561
23.16,5.485548,0.026855,353.04162,0.497908
23.16,7.509218,0.034941,361.941829,0.51046
23.16,8.8736,0.03182,367.875301,0.518828
23.16,7.856406,0.01406,367.875301,0.518828
23.16,14.465437,0.036715,386.862414,0.545607
23.16,11.131213,0.039283,383.30233,0.540586
23.16,9.936413,0.03507,392.795886,0.553975
23.16,14.61894,0.031136,391.015845,0.551464
23.16,13.44923,0.026939,412.376346,0.58159
23.16,15.192238,0.031948,414.749735,0.584937
23.16,6.762725,0.031017,424.836638,0.599163
23.16,11.894318,0.032167,433.736847,0.611715
23.16,16.001608,0.035176,442.637056,0.624268
23.16,9.38695,0.042538,450.943918,0.635983
23.16,10.583042,0.037224,455.690696,0.642678
23.16,2.88147,0.010957,460.437474,0.649372
23.16,10.127741,0.035144,474.677808,0.669456
23.16,10.307208,0.03597,475.271156,0.670293
23.16,6.079754,0.025845,484.764712,0.683682
23.16,12.541479,0.026589,502.56513,0.708787
23.16,7.754489,0.014429,671.669099,0.94728
24.33,4.953696,0.017596,221.212121,0.154825
24.33,9.034597,0.019302,229.545455,0.160657
24.33,4.59986,0.021784,243.181818,0.170201
24.33,5.873668,0.013453,258.333333,0.180806
24.33,3.750655,0.018975,260.606061,0.182397
24.33,6.982352,0.013642,302.272727,0.211559
24.33,3.491176,0.01899,308.333333,0.215801
24.33,5.000874,0.021635,305.30303,0.21368
24.33,4.104491,0.019697,312.121212,0.218452
24.33,5.873668,0.021286,331.818182,0.232238
24.33,7.454133,0.013454,332.575758,0.232768
24.33,6.369037,0.021159,381.060606,0.266702
24.33,5.684956,0.016441,399.242424,0.279427
24.42,6.890688,0.033905,106.828373,0.29417
24.42,6.727256,0.039875,120.943834,0.333039
24.42,6.28982,0.039311,125.755923,0.34629
24.42,5.566789,0.02982,133.455265,0.367491
24.42,7.609632,0.035031,145.64589,0.40106
24.42,6.856494,0.045762,139.229772,0.383392
24.42,6.287542,0.051127,148.853949,0.409894
24.42,7.904536,0.046933,158.157321,0.435512
24.42,5.982806,0.035401,170.989558,0.470848
24.42,7.046759,0.03339,162.648604,0.44788
24.42,10.006506,0.034857,183.821795,0.506184
24.42,9.324322,0.030535,183.180183,0.504417
24.42,7.44558,0.032346,188.313078,0.518551
24.42,7.585315,0.037647,201.145315,0.553887
24.42,7.385878,0.032915,202.428539,0.55742
24.42,6.067491,0.03414,197.61645,0.54417
24.42,6.66133,0.032583,205.957404,0.567138
24.42,6.584055,0.034533,220.393671,0.60689
24.42,8.94963,0.034034,234.188325,0.644876
24.42,3.793536,0.04015,232.26349,0.639576
24.42,5.568691,0.038301,243.491697,0.670495
24.43,14.001512,0.01133,937.878788,0.590649
24.43,13.367215,0.010664,959.090909,0.604008
24.43,18.230156,0.015445,1421.969697,0.895515
26.75,6.390985,0.034135,292.000164,0.351145
26.75,5.058546,0.034829,311.748967,0.374894
26.75,5.443572,0.030788,310.338338,0.373198
26.75,8.745785,0.033709,316.686168,0.380831
26.75,7.607353,0.037873,318.802111,0.383376
26.75,9.590719,0.027414,325.149941,0.391009
26.75,6.395093,0.023579,339.256229,0.407973
26.75,2.402352,0.01369,356.889089,0.429177
26.75,6.480659,0.034883,349.13063,0.419847
26.75,8.192148,0.021145,354.067831,0.425785
26.75,6.245529,0.032212,358.299718,0.430874
26.75,7.376865,0.03173,362.531604,0.435963
26.75,4.89379,0.034437,368.879434,0.443596
26.75,4.542457,0.033103,373.11132,0.448685
26.75,7.141603,0.027928,379.45915,0.456319
26.75,6.618018,0.024216,380.869779,0.458015
26.75,5.494311,0.02834,392.154809,0.471586
26.75,5.603552,0.032618,387.922923,0.466497
26.75,9.132932,0.02806,395.681381,0.475827
26.75,5.612903,0.02662,394.976067,0.474979
26.75,6.958013,0.036729,400.618582,0.481764
26.75,4.091899,0.034852,406.966412,0.489398
26.75,11.354148,0.026271,410.492984,0.493639
26.75,8.235791,0.021407,408.377041,0.491094
26.75,5.150474,0.031567,419.662071,0.504665
26.75,5.445226,0.020624,428.831158,0.515691
26.75,4.089178,0.027013,420.367385,0.505513
26.75,6.594142,0.028331,429.536473,0.516539
26.75,8.638597,0.026695,436.589617,0.525021
26.75,12.211686,0.026156,430.947101,0.518236
26.75,6.949783,0.023262,454.927791,0.547074
26.75,6.862364,0.021495,466.212822,0.560645
